Age,Experience,Skill,RushFactor,WorkStart,WorkDuration,WorkEnd,HomeLat,HomeLng,WorkLat,WorkLng,Distance,RouteDistance,PreviousAccidents,Accidents
70,48,1.299,1.025,7,5,12,59.9410,30.3469,59.9572,30.3608,1958.689,5094.634,2,0
28,5,0.927,1.651,11,7,18,59.9424,30.2347,59.9510,30.2994,3723.557,11279.157,1,0
21,1,0.583,2.581,9,5,14,59.9650,30.3469,59.9518,30.3013,2933.526,7861.565,2,0
59,23,1.257,0.660,9,7,16,59.9396,30.2804,59.9507,30.3023,1737.219,5748.731,1,0
40,13,1.128,0.903,10,8,18,59.9418,30.3796,60.0023,30.3736,6732.874,19748.569,3,2
35,12,0.953,0.994,10,12,22,59.9112,30.2750,59.9378,30.2283,3935.215,15969.366,1,0
44,19,1.411,0.867,17,5,22,59.9723,30.2687,59.9639,30.3213,3071.428,7800.391,1,1
41,16,0.691,1.135,7,12,19,59.9316,30.3536,59.9441,30.3259,2075.283,5276.278,2,0
63,37,0.672,0.368,9,5,14,59.9585,30.3186,59.9414,30.2970,2255.056,6983.501,0,0
32,7,1.006,1.295,9,7,16,59.9742,30.2974,59.9850,30.3577,3562.902,9216.998,2,0
44,22,1.937,1.148,10,9,19,60.0172,30.3737,60.0543,30.3301,4776.046,12112.817,3,0
48,20,1.448,0.485,10,12,22,59.8841,30.2703,59.8488,30.3235,4917.191,14533.504,1,1
39,13,0.935,0.722,10,7,17,60.0392,30.3611,59.9840,30.2147,10189.366,26610.336,3,0
65,38,0.620,0.629,8,7,15,59.9364,30.3311,60.0023,30.3236,7334.989,18163.065,1,0
34,11,1.341,1.354,9,5,14,60.0030,30.3506,60.0131,30.3211,1987.377,5905.170,0,0
29,7,1.008,1.566,10,7,17,59.8693,30.3874,59.8787,30.3272,3523.777,10310.850,2,0
23,3,0.757,1.897,8,10,18,59.9660,30.2939,60.0176,30.4074,8535.356,20055.409,1,1
60,35,1.629,1.146,11,5,16,59.8508,30.2584,59.9858,30.2159,15198.444,45625.162,17,2
74,35,0.942,0.788,9,10,19,59.9934,30.3215,60.0641,30.3440,7964.210,17965.834,2,0
33,12,1.137,1.384,9,7,16,59.8264,30.1529,59.8555,30.3932,13807.239,31865.903,4,1
80,38,1.158,0.711,7,11,18,59.8315,30.4321,59.9938,30.3289,18941.083,42918.262,4,0
78,39,1.782,0.877,10,6,16,59.8983,30.4235,59.9669,30.4738,8125.220,24207.873,3,0
55,32,1.113,0.775,10,11,21,59.9381,30.2832,59.7283,30.0840,25849.303,60784.801,1,0
35,13,1.687,1.011,9,7,16,59.9268,30.4699,59.8761,30.4384,5895.100,16741.286,4,0
54,27,1.155,0.752,10,11,21,59.9536,30.3006,59.9431,30.2772,1753.101,5223.959,1,0
35,12,0.979,0.874,8,9,17,59.8942,30.4239,59.8745,30.4463,2515.208,5788.492,1,0
35,12,0.785,0.768,11,5,16,60.0004,30.2843,60.0098,30.1200,9196.630,26011.720,1,0
62,29,1.576,0.524,13,11,0,60.0387,30.3560,60.0498,30.4469,5194.926,17635.468,1,0
36,13,1.174,0.941,9,4,13,59.9214,30.5012,60.0153,30.3299,14139.147,35328.129,6,0
32,9,1.721,1.243,8,5,13,60.0270,30.4171,59.9287,30.3036,12616.513,30527.239,9,1
18,0,0.509,3.258,9,6,15,60.0443,30.3373,59.9731,30.3998,8643.405,22781.690,5,1
30,8,1.075,1.482,10,8,18,59.8619,30.3475,59.9361,30.3518,8254.262,20497.612,4,0
64,31,1.538,1.006,13,12,1,60.0026,30.2903,59.9502,30.4295,9691.243,25180.116,4,1
41,20,1.462,1.050,8,7,15,59.9381,30.4869,59.8931,30.4386,5675.123,22838.435,2,2
46,27,1.210,1.021,10,9,19,59.8371,30.3345,59.8505,30.3713,2535.781,9218.782,2,1
52,26,1.457,0.998,10,12,22,59.9358,30.3554,59.9501,30.2964,3649.320,9686.126,1,0
43,21,1.367,0.863,8,6,14,59.9498,30.4816,59.9545,30.3644,6549.846,16081.770,2,0
21,2,0.420,2.073,11,7,18,59.9554,30.3029,59.9307,30.3537,3947.239,10473.675,2,0
53,35,1.415,0.507,8,6,14,59.8745,30.2620,59.8684,30.2615,680.119,1937.926,0,0
40,18,1.659,0.618,7,6,13,59.9604,30.2271,60.0004,30.3867,9931.238,28507.957,0,0
87,37,1.045,0.706,10,5,15,59.9365,30.5015,59.9312,30.2985,11321.023,26280.790,4,0
19,1,0.493,2.646,8,8,16,59.9053,30.4844,59.9398,30.4882,3838.683,10578.718,0,1
51,30,1.413,0.715,10,7,17,60.0094,30.0006,60.0376,30.4089,22899.684,75278.624,6,2
40,16,1.617,0.988,9,9,18,59.8684,30.4552,59.8982,30.4212,3809.276,8111.703,4,1
42,18,1.142,0.733,8,4,12,59.8780,30.3138,60.0007,30.3269,13660.128,31490.633,1,0
55,29,1.039,0.863,9,7,16,59.9991,30.2427,60.0137,30.3994,8859.173,20878.223,7,0
73,32,1.130,0.621,9,9,18,60.0022,30.2903,60.0171,30.3148,2150.253,7931.563,0,0
24,3,0.697,1.626,8,8,16,59.9355,30.2802,59.9723,30.3176,4589.056,12554.528,3,0
20,2,0.704,2.245,7,7,14,60.0491,30.3986,59.9327,30.3578,13136.461,31055.957,8,5
